                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,1,2,3,4,,5,,,6,7,8,9,10,11,12,13,14,15,16,17,18,,,,,,,,,,,,19
67,Done,g.gienck,https://www.tiktok.com/@g.gienck,"2,611",336,77,74,2,1,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์ 
28 พ.ค. 69 - 18:30","เจอแล้ว! ของสะสมที่ทำให้ทุกแก้วสนุกขึ้น 🫶✨
ซื้อเครื่องดื่ม ZUS ครบ 80 บาท รับฟรี Hipper Collection 1 ซอง ลุ้นตัวไหนก็ได้ เปิดแล้วมีแต่คำว่าน่ารักกก 💙
#zuscoffee #zuscoffeeth #HipperCollection ",https://drive.google.com/drive/folders/1U1g9349YaZNzhrCRblbwdl2xDUr5S7O0,"0.40 - เพิ่ม Text ""วันนี้ - 12 มิถุนายน 69""

(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","0.40 - เพิ่ม Text ""วันนี้ - 12 มิถุนายน 69""

(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/drive/folders/1U1g9349YaZNzhrCRblbwdl2xDUr5S7O0,ผ่าน,ผ่าน,"TikTok Video: https://vt.tiktok.com/ZSQBBU9m6/
IG Reels: https://www.instagram.com/reel/DZXnyfZTEce/
IG Post: https://www.instagram.com/p/DZXoh0dkydd/
IG Story: https://www.instagram.com/stories/g.ggie/3915778122406952436","TikTok Video: #oCMgmkFc5emd6Py1UmJUALRaQ6Po5bzAe29XOcRq3lOYJyTmrQOUATanmw4A3v8=
Facebook: fbadcode-Q_GkBQ3SsR7pk--2AhKNRKewqP8hfsG9I1QuVxfSEm2N3rUw0YvW1cOBcpM79eAy9Ec",449,33,0,0,0,"1,032",30,0,0,0,0,
68,cancel,mppimcha,https://www.tiktok.com/@amppimcha,"3,636","1,855",5,4,0,1,FALSE,FALSE,TRUE,,,,,,,,,#N/A,#N/A,,,,,,,,,,,,
69,,Kattaleeya98,https://www.tiktok.com/@kattaleeya98,"9,760",365,53,51,0,2,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
70,Done,Nuwaennakakol,https://www.tiktok.com/@nuwaennakakol,"22,100","2,795",22,20,0,2,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
3 มิ.ย. 69 - 11:00",@zuscoffee.th,https://drive.google.com/drive/folders/1vNOgWVd_PevN_buJeRQrvg2cEApEDRGi,"0.42-0.48 หลังจากแจ้งวัด ตัดจนถึงออก เริ่มอีกทีที่ ""กับ ZUS Buddy Hipper""
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","0.18 เอารูปออก
0.22 แก้ว้อยซ์ ช้อคโก้ชิปส์เตอร์
0.42-0.48 หลังจากแจ้งวัน ตัดจนถึงออก เริ่มอีกทีที่ ""กับ ZUS Buddy Hipper""
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",https://drive.google.com/file/d/1-W5bI_uSR9xTEWEknNEZchNkE7ubqR20/view?usp=drivesdk,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQNaRatc/
IG Reels: https://www.instagram.com/reel/DZPIcfRy6y9/
IG Post: https://www.instagram.com/p/DZPIBjgy9q8/
IG Story: https://www.instagram.com/stories/nuwaennaka/3913381121908441767","TikTok Video: #qkSgZ+rOjH7VT34RlvHB7Tun6yGVDMKYy/GHpelQ7ufu+Do7T1yr6yR+xiDjrIk=
Facebook: fbadcode-Q_GkBQ0MDU_NaE63tKCu6p4zNYCE4MbP_y2h9UvQ29Oy78dgSVUui1pjyaoCHF9w7Ts","3,127",37,12,4,1,367,10,2,0,0,0,
71,cancel,hsmimus,https://www.tiktok.com/@hsmimus,"27,100",4905,200,174,5,21,TRUE,FALSE,TRUE,"สาขา Little Walk กรุงเทพกรีฑา
28 พ.ค. 69 - 18:00",,,,,,,,#N/A,#N/A,,,,,,,,,,,,
72,Done,albiehappy ,https://www.tiktok.com/@albiehappy,"10,100","1,763",15,4,4,7,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
4 มิ.ย. 69 - 18:00","ซื้อเครื่องดื่มครบ 80 บาทต่อบิล รับฟรี! ซองสุ่ม Hippers Collection 1 ซอง🤩💖
                    
📍วันนี้-12 June ที่ ZUS Coffee ทุกสาขาน้า💙

#zuscoffee #zuscoffeeth #ซองสุ่ม
#Tiktokพากิน #กล่องสุ่ม ",https://drive.google.com/file/d/11G5KTmoAmaypEovWwhR5fEb-eJLN5iU8/view?usp=drivesdk,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQMKMQSf/
IG Reels: https://www.instagram.com/reel/DZUqRpwTajn/
IG Post: https://www.instagram.com/p/DZUq6pQEzn1/
IG Story: https://www.instagram.com/stories/patty_talongin/3914943630737870011",TikTok Video: #mjYa1e1XJYZPb4s/p02zr9z+CVo84hYnuY0Ud9hfLDQF4QgPBLlBF/9jV8THPdM=,960,19,2,3,0,133,3,0,0,0,0,
73,,supaspp,https://www.tiktok.com/@supaspp,"2,414",291,22,20,0,2,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
74,Done,mornmellodyz,https://www.tiktok.com/@mornmellodyz,"147,700","1,411",74,70,1,3,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์ 
27 พ.ค. 69 - 18:00","ที่ซุสมีกล่องสุ่มด้วยละรู้ยัง ? ☕️ 🎁 ✨
มาสุ่ม Hippers Collection ได้แล้ววันนี้ที่ ZUS COFFEE ทุกสาขา! 
คาแรคเตอร์น่ารักๆ รอคุณอยู่ 💕
#zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1fAJW4RaGpYpJpLpZZ1Y39-WX6MXaLPGN/view?usp=drivesdk,"ผ่าน
(เติมเพลงตอนลง)","ผ่าน
(เติมเพลงตอนลง)",,,,"TikTok Video: https://vt.tiktok.com/ZSxWpSy5X/
IG Reels: https://www.facebook.com/share/r/1GxeNSsXRJ/
IG Post: https://www.instagram.com/reel/DY_MPO1CBcB/
IG Story: https://www.instagram.com/reel/DY_MPO1CBcB/","TikTok Video: #qxZlGjk90KcIEt7nw+1e91lRlDl8E6np6JesLhiG0R9e2G7JGovOzrOCDX2nbwc=
Facebook: fbadcode-Q_GkBQ13P2R8Scpt_H0N73qGJ6DKHrhBPEjO-WgEnlzz-ufF4zbXOAhX-F4Os1kaf6w","2,091",35,4,4,19,381,6,0,1,0,0,
75,,Phatsamonphu,https://www.tiktok.com/@phatsamonphu,"13,300",148,7,5,1,1,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,
76,Done,mc_meepooh,https://www.tiktok.com/@mc_meepooh,"12,000","1,151",199,192,4,3,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์
4 มิ.ย. 69 - 14:00",#zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress,https://drive.google.com/drive/folders/1m_7K90eW0s8l9l25bcRhlc_CvI7s7Dps,"0.17 - Iced Matcha Thai Tea
0.21 - ZUS Coffee เขียนตัวพิมพ์ใหญ่ค่าา","0.17 - Iced Matcha Thai Tea
0.21 - ZUS Coffee เขียนตัวพิมพ์ใหญ่ค่าา
0.32 - แก้ว้อยซ์ พิงกี้บู",https://drive.google.com/drive/folders/1m_7K90eW0s8l9l25bcRhlc_CvI7s7Dps,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQDg4hMM/
IG Reels: https://www.instagram.com/reel/DZaUSDsh4rh/
IG Post: https://www.instagram.com/reel/DZaUSDsh4rh/
IG Story: https://www.instagram.com/reel/DZaUSDsh4rh/","TikTok Video: #tWgGIZA6RM1P8WD5kETOA5yHzN0IGm8NyL89itTfoWFMVteR+W1HTeaxEoYhjAU=
Facebook: fbadcode-Q_GkBQ0F4vF-nxhPRKh-J3dUNnFVefTu93p3BS0r0G4tW6yf1q3D1kZi8LX9K6Y48sV4","1,493",234,5,6,1,"1,373",65,4,0,0,0,
77,Done,palangreview,https://www.tiktok.com/@palangreview,"5,926","5,294",189,170,5,14,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
3 มิ.ย. 69 - 13:00","ทุกคนนนนนน!!! 😭☕️
วันนี้แค่จะมา ZUS Coffee สาขาเซ็นทรัลพระรามเก้า
สรุปได้ “กล่องจุ่ม” กลับบ้านด้วยเฉยยยย 💙✨
คือซื้อเครื่องดื่มครบ 80.- ต่อบิล
ได้สุ่ม ZUS Coffee Hippers ฟรี 1 ซอง!
แล้วน้องคือน่ารักเกินเรื่องมากกกกก
ตอนแกะคือลุ้นเหมือนเด็กได้ของเล่นอะ 😂
พอเปิดออกมาแล้วแบบ “โอ๊ยยย น่ารักกกก”
ที่สำคัญเอาไปติดมือถือ / laptop / โต๊ะทำงานได้จริง น่ารักกกก🥹✨
ใครสายกาแฟ + ชอบของจุ๊กจิ๊ก
บอกเลยว่าห้ามพลาดดดดด
📍ZUS Coffee ทุกสาขา
📅 3-12 มิ.ย. นี้เท่านั้นน้า
#zuscoffee #zuscoffeeth #พลังรีวิว",https://drive.google.com/drive/folders/1N-TIn32-1gHZgy9HPVKXUga8--bde4co,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","1. 0.18 ขึ้น text ระยะเวลาโปรโมชั่น
2. 0.22 - 0.27 เอารูปออก
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",https://drive.google.com/drive/folders/1N-TIn32-1gHZgy9HPVKXUga8--bde4co,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQMkKrXv/
IG Reels: https://www.facebook.com/share/r/18Rnf33kzY/
IG Post: https://www.instagram.com/p/DZUWFH_kiOl/
IG Story: https://www.instagram.com/stories/tuplakad/3914852720805293412","TikTok Video: #550Z425kOc5FFfrfWB575bBlwLpVDPCLMWLhJ4iHYyXLFn49MFHtPDug1fJeMrU=
Facebook: fbadcode-Q_GkBQ37CkZ9k2Drqcth92tMtkaKiNnRkG7dLtjlvdDsKd2I3RCuzkhpKLUAXP0NHg","1,225",51,3,0,1,165,1,0,0,0,0,
78,Done,nornanreview,https://www.tiktok.com/@nornanreview,"69,900","3,218",35,32,0,3,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
4 มิ.ย. 69 - 10:00","อยากได้ตัวไหนนนน น่ารักทุกตัว
สั่ง ZUS App ครบ 80.- รับฟรีซองสุ่ม Hippers 3–12 มิ.ย. ทุกสาขา ✨
#zuscoffee #zuscoffeeth @zuscoffee.th",https://drive.google.com/drive/folders/1kkG6AgF_np58UgcztdEVowjiRzWwj3xI,-,1. 0.18 ขยายรูป kv ใหญ่ขึ้น ไว้ตรงกลางคลิป,https://drive.google.com/drive/folders/1kkG6AgF_np58UgcztdEVowjiRzWwj3xI,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQMSa9mM/
IG Reels: https://www.instagram.com/reel/DZUOKsaxqXy/
IG Post: https://www.instagram.com/p/DZUW5ISEYIc/
IG Story: https://www.instagram.com/stories/nornanstory/3914854799519113391",TikTok Video: #BC6tdlv3CEeWGQuEjO0nC2pcobiiZTmGHWbWX5V9HOymScnt4LccJUk7Xkbu5js=,"1,707",102,2,7,1,543,30,7,2,0,0,
79,Done,kaipaoph7iv,https://www.tiktok.com/@kaipaoph7iv,"5,972",228,16,13,3,0,TRUE,FALSE,TRUE,"สาขาบ้านก้ามปู อโศก
3 มิ.ย. 69 - 12:00","รู้ยัง ZUS Coffee เขามีซองจุ่มด้วยนะ?! ยัยน้อง Hippers Collection น่ารักทุกตัวเลย🤏🏻 สายจุ่มถูกใจสิ่งนี้
#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1yFr46BK5v3P-Pkm1FMgufK42vCOnU9YN,"ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","ผ่าน
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress",,,,"TikTok Video: https://vt.tiktok.com/ZSQJhTCUr/
IG Reels: https://www.instagram.com/reel/DZJ8GC4uTr9/
IG Post: https://www.instagram.com/p/DZJ9zCinSxZ/
IG Story: https://www.instagram.com/stories/mew_nif/3911925355661676073",TikTok Video: #Fu2AHGhiOyHgCyarawYZXtYM2w4U/d5KopYG/CwWqCjiAGEjklaD2qIzJ8NYbCo=,476,75,40,8,6,"1,575",59,28,0,0,0,
80,Done,magusgaa,https://www.tiktok.com/@magusgaa,"3,564",155,6,6,0,0,TRUE,FALSE,TRUE,"สาขาวานิช เพลส อารีย์
3 มิ.ย. 69 - 10:00",ซื้อเครื่องดื่มที่ซุสฟรีซองสุ่ม!!,https://drive.google.com/drive/folders/1BrmoNn_h_SgRKyqdOgd5gRNYFkccQtO-,"0.00 - ZUS ตัวพิมพ์ใหญ่

(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","0.00 - ZUS ตัวพิมพ์ใหญ่

(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",https://drive.google.com/drive/folders/1BrmoNn_h_SgRKyqdOgd5gRNYFkccQtO-,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)",ผ่าน,"TikTok Video: https://vt.tiktok.com/ZSQSVxKSk/
IG Reels: https://www.instagram.com/reel/DZXFnZgulLh/
IG Post: https://www.instagram.com/p/DZY-CMBgV8j/
IG Story: https://www.instagram.com/stories/milkjarin/3914848020450122361",TikTok Video: #W3Lz2RGET5BaOOPomeuoZZ/rOiuPsOjZuVQTWVyz4lLNw1cjMmFulV59bJ3zmj0=,150,8,0,0,1,930,21,0,0,0,0,
81,Done,pattanyatorn,https://www.tiktok.com/@pattanyatorn,"22,000","2,835",140,127,3,10,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
3 มิ.ย. 69 - 10:00","ในที่สุดก็ได้ครอบครอง 🥹💙✨

#zuscoffee#zuscoffeeth#tiktokพากิร#ป้ายยา",https://drive.google.com/file/d/1UMhEHFEqp0OZhDrWnmg-OOkwPR8EvvCB/view?usp=drivesdk,"0.11 - Hippers เขียนผิดค่า แล้วก็ออกเสียงว่า ฮิปเปอร์ ค่า
0.11 - เพิ่ม Text 3-12 มิ.ย. 69

(ใส่เพลง + ใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","0.11 - Hippers เขียนผิดค่า แล้วก็ออกเสียงว่า ฮิปเปอร์ ค่า
0.11 - เพิ่ม Text 3-12 มิ.ย. 69

(ใส่เพลง + ใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",https://drive.google.com/file/d/18aPAbQMALq-8ZpIJUeFbocXxtz8TH7bw/view?usp=drivesdk,ผ่าน,(ใส่เพลง + ใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress),"TikTok Video: https://vt.tiktok.com/ZSQyRFJQY/
IG Reels: https://www.instagram.com/reel/DZbrtLxhZ4T/
IG Post: https://www.instagram.com/reel/DZbrtLxhZ4T/
IG Story: https://www.instagram.com/stories/pattanyatorn/3916510630870451736",TikTok Video: #pDGeCFnS9pN+TpNSQmalBuksuY2jG+pJhFHOgMT+zvaWZayzVwDIV68ZOadEDtY=,"3,248",14,0,5,4,797,35,0,0,0,0,
82,,s_eyelyn,https://www.tiktok.com/@s_eyelyn,"30,000",676,20,16,4,0,TRUE,FALSE,FALSE,"สาขา Thyme บางนา
29 พ.ค. 69 - 13:00",,,,,,,,,,,,,,,,,,,,,
83,Done,lookped_meawmeaw,https://www.tiktok.com/@lookped_meawmeaw,"22,200",810,72,63,7,2,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza 
3 มิ.ย. 69 - 12:00","ทำงานเหนื่อยๆ ไอเทมฮีลใจต้องเข้าแล้วปะ
วันนี้ได้น้อนมาเติมพลังใจ นำทัพโดยแก๊ง Hippers Collection แปะหน้าจอไอแพดแล้วทำงานเพลินมากกกก เป็นของแถมสุดเอ็กซ์คลูซีฟจากแคมเปญ ZUS Hippers & ZUS Work in Progress แค่สั่งเครื่องดื่มใน ZUS Coffee ครบ 80.- ก็ได้น้องไปรับขวัญที่โต๊ะทำงานฟรี ๆ 1 ซอง

📍 รีบไปจัดกันได้ที่ ZUS Coffee ทุกสาขา
🗓️ 3 - 12 มิถุนายนนี้เท่านั้น (ของมีจำนวนจำกัดน้าาา)
#zuscoffee #zuscoffeeth @zuscoffee.th",https://drive.google.com/drive/folders/1zxHnGkIvYDqczi5IjZ-3IM9DOUqHAs1r,"0.14 - ZUS Work in Progress ออกเสียงผิด โปร-เกรซ ไม่ใช่ โปร-เซส
0.42 - สัญลักษณ์ ; ผิดไหมคะ ต้องเป็น ,","0.14 - ZUS Work in Progress ออกเสียงผิด โปร-เกรซ ไม่ใช่ โปร-เซส
0.42 - สัญลักษณ์ ; ผิดไหมคะ ต้องเป็น ,",https://drive.google.com/drive/folders/1zxHnGkIvYDqczi5IjZ-3IM9DOUqHAs1r,ผ่าน,ผ่าน,"Tiktok : https://vt.tiktok.com/ZSQB9ADQ2/
IG Reels : https://www.instagram.com/reel/DZX2iF4T1Gw/
IG Post : https://www.instagram.com/p/DZX22ayk9_-/","Tiktok : #WDdTZ/d7bp2P91t32pA80K5u/7URcfumidZzC4Bv8V17dhDNmfbaFlyZW1+kgA8=
Facebook: fbadcode-Q_GkBQ2OBkL0cUycVRlff6tRylvm-AEd-62soFyDuMgPi_0q5KtCnvKRW5Xf2tX5h88","1,963",152,10,2,0,481,18,1,1,0,0,
84,Done,pimentoguy,https://www.tiktok.com/@pimentoguy,"4,146",787,34,30,2,2,TRUE,FALSE,TRUE,"สาขา Central พระราม 9
4 มิ.ย. 69 - 19:00","วันนี้แวะ ZUS Coffee แล้วไม่กลับมือเปล่า ☕️ ซื้อครบ 80 บาท/บิล
รับฟรี 1 ซองสุ่ม Hippers Collection
แกะลุ้นกันว่าจะได้น้องคนไหน!

#zuscoffee #zuscoffeeth / แท็ค @zuscoffee.th ",https://drive.google.com/drive/folders/1c0j5ee3tqPOeqzmHqw-owu2e8b8855r9,"ผ่าน
(เติมเพลงตอนลง + ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSQNEJLfx/
IG Reels: https://www.instagram.com/reel/DZPcavXRhOj/
IG Post: https://www.instagram.com/p/DZPdRBeEWff/
IG Story: https://www.instagram.com/stories/pimentoguy/3913477439980947755","TikTok Video: #oEBRJE8COfCSK7U+w13a10M6YATW7q++3lulqG++Qon8ouXwVk05q5/NI4vbooY=
Facebook: fbadcode-Q_GkBQ0ZVq34e7am3-yE-aaymdFOvj1VxuZGrQQ8BoJzFcQmfOlx4aTRClrhpyRpB8s",462,24,8,0,12,647,14,0,0,0,0,
85,Done,iahturmos__,https://www.tiktok.com/@iahturmos__,"5,048",937,123,101,10,12,TRUE,FALSE,TRUE,"สาขา SCB Park Plaza 
3 มิ.ย. 69 - 14.00","แค่ตั้งใจมาซื้อกาแฟ แต่ดันได้ภารกิจงดหวาน 1 วันกลับบ้าน 😂☕🍪

ครั้งนี้มาลองลุ้น ZUS Buddy Hippers ของ ZUS Coffee บอกเลยว่าหยุดไม่ได้จริง ๆ เพราะซื้อเครื่องดื่มครบ 80 บาทต่อบิล ก็ได้สิทธิ์จุ่มฟรี 1 ซอง!

แล้วผลคือ... 

น้องน่ารักมากชั้นจะเอาไปไว้ออฟฟิศ

ใครเป็นสายสะสมหรือสายจุ่ม ระวังตกหลุมรักคอลนี้แบบเรา 🤏✨

📅 3 - 12 มิถุนายน 2569

📍 ZUS Coffee ทุกสาขา

#ZUSCoffee #ZUSCoffeeTH #ZUSBuddyHippers #สายจุ่ม #Unboxing",https://drive.google.com/drive/folders/19asX6LAlZtM9pqYrnEKyPBH51yTPKwTp,"0.22, 0.24, 0.26, 0.28 - เสียงซ้อนกัน ให้อินฟลูขยับให้ไม่ซ้อน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","0.22, 0.24, 0.26, 0.28 - เสียงซ้อนกัน ให้อินฟลูขยับให้ไม่ซ้อน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",https://drive.google.com/file/d/1mYWWWEJ8gaBE6F4ab08uCHd8xHNYaLmu/view?usp=drivesdk,ผ่าน,ผ่าน,"TikTok Video: https://vt.tiktok.com/ZSQdGq1CC/
IG Reels: https://www.instagram.com/reel/DZML2K8IJbn/
IG Post: https://www.instagram.com/p/DZK2p7gGfi7/
IG Story: https://www.instagram.com/p/DZK2p7gGfi7/","TikTok Video: #B2j7tUpXRnaHbKBlV1oeR+0VlHa1Qa5n4tGkqpMZMsU2k4nQivjA2KSHoTTwoOI=
Facebook: fbadcode-Q_GkBQ3Xsdpb-1J4kMoQ5ivUGoX25nVSRr4s_mIUkNBJOpUIOCLLFMNk3orN74NYepyF","2,211",441,12,13,2,"2,827",135,2,6,0,0,
86,Done,chobell,https://www.tiktok.com/@chobell,"63,000","20,932",283,271,8,4,TRUE,FALSE,TRUE,"สาขาฟอร์จูน ทาวน์
27 พ.ค. 69 - 14:00","แค่จะไปซื้อ ZUS Coffee สรุปได้นั่งลุ้นจุ่มแทน 😂✨
ตอนเปิดคือภาวนาให้ได้ Choco Chipster สุดท้ายได้ Pinky Boo น้องน่ารักเกินต้านนน 💖📱

ซื้อเครื่องดื่มครบ 80 บาทต่อบิล
รับฟรี Hippers Collection 1 ซอง!
มีทั้งเมนูเย็นและเมนูปั่นเลยย ☕️🍫

เราลอง Chocolate Frappe กับ Iced Thai Milk Tea คืออร่อยมากกก🥹

ใครสายสะสมต้องไปลุ้นแล้วว
ที่ ZUS Coffeeทุกสาขา ช่วง 3-12 June นี้น้า✨

#zuscoffee #zuscoffeeth",https://drive.google.com/drive/folders/1eQm4YpSngkRpoIl7YBTl7iAceidptqm_,-,"ผ่าน
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",,,,"TikTok Video: https://vt.tiktok.com/ZSx76wE5E/
IG Reels: https://www.instagram.com/reel/DZA9i79yD1p/
IG Post: https://www.instagram.com/reel/DZA9i79yD1p/
IG Story: https://www.instagram.com/stories/cbxpws/3909395668066811627",TikTok Video: #hxmy8eowNqZLLYuT9INBBMqlrpoM4WUsOHsGe5/m60wOsDILZmXXNGseBT77pFc=,"11,300",234,16,162,1,194,6,0,0,0,0,
87,Done,manutsananpibanwo,https://www.tiktok.com/@manutsananpibanwo,"103,100",749,53,42,5,6,TRUE,FALSE,TRUE,"สาขา Thyme บางนา
3 มิ.ย. 69 - 13:00","อยากสะสมให้ครบทุกตัวเลย #zuscoffee #zuscoffeeth / แท็ค @zuscoffee.th สำหรับ IG (สำหรับลง IG story
แท็ค @zuscoffee.th ไม่ต้องใส่ #)",https://drive.google.com/drive/folders/18bm6C1sII9tkXMcspJUco_QAolFzucaw,"0.04 - ให้เขียนว่า ZUS Coffee
0.09 - ZUS เขียนผิด และให้ใช้ตัวพิมพ์ใหญ่
0.22 - Chocolate Frappe เขียนผิด

(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","0.04 - ให้เขียนว่า ZUS Coffee
0.09 - ZUS เขียนผิด และให้ใช้ตัวพิมพ์ใหญ่
0.22 - Chocolate Frappe เขียนผิด
0.39 - ออกเสียง ซุสคอฟฟี่ให้ชัด
(เติมเพลงตอนลง + ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",https://drive.google.com/drive/folders/18bm6C1sII9tkXMcspJUco_QAolFzucaw,"ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","ผ่าน
(ใส่แคปชั่น #zuscoffee #zuscoffeeth #ZUSWIP #ZUSWorkInProgress)","TikTok Video: https://vt.tiktok.com/ZSQMvJmbs/
IG Reels: https://www.instagram.com/reel/DZUtnMiK7XA/
IG Post: https://www.instagram.com/stories/manut_kea/3914956343903682058
IG Story: https://www.instagram.com/stories/manut_kea/3914956343903682058",TikTok Video: #Flr4ea4KMWef7Xu9htv23pKdU1hKlxTCqoedxmP+j0r8kJpH9mnylHssuFzwmjY=,259,15,7,4,3,331,3,0,0,0,0,
88,Done,sn.supanee,https://www.tiktok.com/@sn.supanee,"38,000","3,944",91,60,26,5,TRUE,FALSE,TRUE,"สาขา Thyme บางนา
28 พ.ค. 69 - 18:00","ทุกคนน! แวะซื้อกาแฟเติมพลังบ่ายนี้ที่ ZUS Coffee แต่ดันได้ของแถมสุดคิ้วท์กลับมาเฉยเลย! ☕️ลุ้นมากกก ตอนนี้เค้ามีแคมเปญแจกซองสุ่มฟิกเกอร์ ZUS Buddy Hippers Collection ลิมิเต็ดสุดๆ เอามาติดแล็ปท็อป ติดโทรศัพท์คือดีย์ต่อใจ มนุษย์ออฟฟิศแบบเราจะพลาดได้ไง! 🥰
#zuscoffee #zuscoffeeth",https://drive.google.com/file/d/1Z4kl--Yrmq5h69gbvxtYnj_ItXjjUoPa/view?usp=drivesdk,"- ให้ตัดจบตอน 0.48
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)","- 0.26 แก้ไข้การออกเสียง จาก เซนซา เป็น เซนฉะ 
- ให้ตัดจบตอน 0.48
(ฝากใส่แคปชั่น #ZUSWIP  #ZUSWorkInProgress)",https://drive.google.com/file/d/1PBu74z8k9OWDRpw4e6g57ZFRiR9fCMis/view?usp=drivesdk,ผ่าน,ผ่าน,"TikTok Video: https://vt.tiktok.com/ZSxnP28Vd/
IG Reels: https://www.facebook.com/share/r/16pBPJkEYQ/
IG Post: https://www.instagram.com/p/DZCLT0Tkjmb/
IG Story: https://www.instagram.com/stories/supanee.nf/3908894498760082923",TikTok Video: #/aPYPvbqDSGbLFEBQwfLLlzXP//xYWjRkdIO+cNFYTqmKMEdxQcXcMROd6SyNVo=,"1,215",71,62,7,4,154,3,2,0,0,0,
